Year	Month	Day	Pandoh_inflow_cfs
2013	6	15	17624
2013	6	16	21083
2013	6	17	15356
2013	6	18	10246
2013	6	19	10826
2013	6	20	9781
2013	6	21	9563
2013	6	22	10438
2013	6	23	12424
2013	6	24	14131
2013	6	25	17778
2013	6	26	19665
2013	6	27	21716
2013	6	28	20542
2013	6	29	19273
2013	6	30	18261
2013	7	1	17675
2013	7	2	17911
2013	7	3	17161
2013	7	4	19605
2013	7	5	19425
2013	7	6	21924
2013	7	7	30473
2013	7	8	22362
2013	7	9	30068
2013	7	10	21831
2013	7	11	18428
2013	7	12	16439
2013	7	13	17266
2013	7	14	17690
2013	7	15	18754
2013	7	16	19245
2013	7	17	18941
2013	7	18	18280
2013	7	19	19810
2013	7	20	21962
2013	7	21	24108
2013	7	22	20020
2013	7	23	20126
2013	7	24	22469
2013	7	25	27496
2013	7	26	23621
2013	7	27	20207
2013	7	28	22115
2013	7	29	21834
2013	7	30	22765
2013	7	31	21718
2013	8	1	20967
2013	8	2	23206
2013	8	3	22341
2013	8	4	23197
2013	8	5	22541
2013	8	6	28976
2013	8	7	28193
2013	8	8	26139
2013	8	9	25314
2013	8	10	21551
2013	8	11	21606
2013	8	12	21537
2013	8	13	21199
2013	8	14	24485
2013	8	15	24371
2013	8	16	27572
2013	8	17	26112
2013	8	18	26937
2013	8	19	23718
2013	8	20	24348
2013	8	21	27713
2013	8	22	27626
2013	8	23	24363
2013	8	24	21594
2013	8	25	20146
2013	8	26	19632
2013	8	27	18267
2013	8	28	18215
2013	8	29	16669
2013	8	30	16388
2013	8	31	20514
2013	9	1	20891
2013	9	2	18375
2013	9	3	15389
2013	9	4	14415
2013	9	5	12117
2013	9	6	11649
2013	9	7	10531
2013	9	8	10604
2013	9	9	13127
2013	9	10	10604
2013	9	11	10405
2013	9	12	10764
2013	9	13	12438
2013	9	14	11047
2013	9	15	9121
2013	9	16	8439
2013	9	17	7672
2013	9	18	6945
2013	9	19	6898
2013	9	20	7055
2013	9	21	7153
2013	9	22	7170
2013	9	23	6713
2013	9	24	6681
2013	9	25	7423
2013	9	26	6857
2013	9	27	6430
2013	9	28	6210
2013	9	29	7943
2013	9	30	6853
2013	10	1	6003
2013	10	2	5902
2013	10	3	5494
2013	10	4	5583
2013	10	5	5513
2013	10	6	5575
2013	10	7	5678
2013	10	8	5952
2013	10	9	6206
2013	10	10	6387
2013	10	11	6535
2013	10	12	6092
2013	10	13	5587
2013	10	14	4662
2013	10	15	4219
2013	10	16	4128
2013	10	17	3934
2013	10	18	3747
2013	10	19	3623
2013	10	20	3591
2013	10	21	3508
2013	10	22	3238
2013	10	23	3416
2013	10	24	3228
2013	10	25	3303
2013	10	26	3172
2013	10	27	3180
2013	10	28	3122
2013	10	29	3117
2013	10	30	3122
2013	10	31	2966
2013	11	1	2984
2013	11	2	2908
2013	11	3	2655
