Column	Parameter	Lower_bound	Upper_bound	Units
1	runcell	NA	NA	NA
2	gridcell	NA	NA	NA
3	lat	NA	NA	NA
4	lon	NA	NA	NA
5	b_infilt	0.0001	0.4	NA
6	ds	0.0001	1	fraction
7	dsmax	0.01	30	mm/day
8	ws	0.0001	1	fraction
9	c	NA	NA	NA
10	expt1	3	NA	NA
11	expt2	3	NA	NA
12	expt3	3	NA	NA
13	ksat1	NA	NA	mm/day
14	ksat2	NA	NA	mm/day
15	ksat3	NA	NA	mm/day
16	phi_s1	NA	NA	mm/mm
17	phi_s2	NA	NA	mm/mm
18	phi_s3	NA	NA	mm/mm
19	init_moist1	NA	NA	mm
20	init_moist2	NA	NA	mm
21	init_moist3	NA	NA	mm
22	elev	NA	NA	m
23	depth1	NA	NA	m
24	depth2	0.1	0.3	m
25	depth3	0.3	1.5	m
26	avgT	NA	NA	C
27	dp	NA	NA	m
28	bubble1	0	NA	cm
29	bubble2	0	NA	cm
30	bubble3	0	NA	cm
31	quartz1	NA	NA	fraction
32	quartz2	NA	NA	fraction
33	quartz3	NA	NA	fraction
34	bulk_dens1	NA	NA	kg/m3
35	bulk_dens2	NA	NA	kg/m3
36	bulk_dens3	NA	NA	kg/m3
37	soil_dens1	NA	NA	kg/m3
38	soil_dens2	NA	NA	kg/m3
39	soil_dens3	NA	NA	kg/m3
40	offgmt	NA	NA	hr
41	wcr_fract1	NA	NA	fraction
42	wcr_fract2	NA	NA	fraction
43	wcr_fract3	NA	NA	fraction
44	wpwp_fract1	NA	NA	fraction
45	wpwp_fract2	NA	NA	fraction
46	wpwp_fract3	NA	NA	fraction
47	rough	NA	NA	m
48	snow_rough	NA	NA	m
49	annual_prec	NA	NA	mm
50	resid_moist1	NA	NA	fraction
51	resid_moist2	NA	NA	fraction
52	resid_moist3	NA	NA	fraction
53	fs_active	NA	NA	NA
54	July_Tavg	NA	NA	C
